FeedbackID,AgentID,Rating,ReviewText,ReviewDate
F0091,A006,5,Agent missed scheduled viewing,2026-03-04 00:00:00
F0092,A009,2,Agent missed scheduled viewing,2026-06-24 00:00:00
F0093,A008,4,Excellent property viewing experience,2026-02-28 00:00:00
F0094,A003,4,Excellent property viewing experience,2026-01-16 00:00:00
F0095,A008,4,Service charge details were unclear,2026-03-22 00:00:00
F0096,A002,4,Very professional throughout the transaction,2026-02-11 00:00:00
F0097,A002,2,Agent missed scheduled viewing,2026-04-11 00:00:00
F0098,A010,1,Follow-up took too long,2026-05-07 00:00:00
F0099,A008,4,Service charge details were unclear,2026-01-13 00:00:00
F0100,A001,2,Very professional throughout the transaction,2026-05-23 00:00:00
F0101,A008,1,Agent explained the mortgage process clearly,2026-06-22 00:00:00
F0102,A004,4,Service charge details were unclear,2026-05-23 00:00:00
F0103,A001,1,Agent explained the mortgage process clearly,2026-02-01 00:00:00
F0104,A007,3,Agent missed scheduled viewing,2026-06-11 00:00:00
F0105,A003,4,Service charge details were unclear,2026-05-05 00:00:00
F0106,A001,1,Property listing information was outdated,2026-05-06 00:00:00
F0107,A002,4,Property listing information was outdated,2026-04-18 00:00:00
F0108,A002,1,Service charge details were unclear,2026-02-09 00:00:00
F0109,A006,1,Excellent property viewing experience,2026-06-05 00:00:00
F0110,A004,3,Excellent property viewing experience,2026-01-18 00:00:00
F0111,A006,5,Excellent property viewing experience,2026-05-01 00:00:00
F0112,A004,2,Service charge details were unclear,2026-02-17 00:00:00
F0113,A009,4,Agent explained the mortgage process clearly,2026-05-20 00:00:00
F0114,A002,4,Agent explained the mortgage process clearly,2026-02-14 00:00:00
F0115,A007,5,Follow-up took too long,2026-03-30 00:00:00
F0116,A009,5,Agent explained the mortgage process clearly,2026-01-04 00:00:00
F0117,A002,4,Very professional throughout the transaction,2026-03-15 00:00:00
F0118,A008,3,Very professional throughout the transaction,2026-02-14 00:00:00
F0119,A009,4,Very professional throughout the transaction,2026-03-12 00:00:00
F0120,A005,1,Property listing information was outdated,2026-06-18 00:00:00
F0121,A006,5,Excellent property viewing experience,2026-04-01 00:00:00
F0122,A004,2,Very professional throughout the transaction,2026-01-06 00:00:00
F0123,A004,2,Agent missed scheduled viewing,2026-05-15 00:00:00
F0124,A009,4,Very professional throughout the transaction,2026-03-15 00:00:00
F0125,A009,1,Very professional throughout the transaction,2026-04-30 00:00:00
F0126,A009,1,Property listing information was outdated,2026-02-20 00:00:00
F0127,A002,3,Agent explained the mortgage process clearly,2026-04-24 00:00:00
F0128,A005,5,Agent missed scheduled viewing,2026-01-11 00:00:00
F0129,A008,1,Excellent property viewing experience,2026-05-23 00:00:00
F0130,A002,5,Service charge details were unclear,2026-02-01 00:00:00
F0131,A008,1,Property listing information was outdated,2026-05-27 00:00:00
F0132,A005,4,Follow-up took too long,2026-02-27 00:00:00
F0133,A001,4,Very professional throughout the transaction,2026-01-12 00:00:00
F0134,A004,1,Agent explained the mortgage process clearly,2026-05-08 00:00:00
F0135,A002,2,Property listing information was outdated,2026-06-20 00:00:00
F0136,A002,4,Very professional throughout the transaction,2026-06-30 00:00:00
F0137,A008,1,Excellent property viewing experience,2026-01-28 00:00:00
F0138,A008,2,Excellent property viewing experience,2026-04-09 00:00:00
F0139,A007,1,Agent missed scheduled viewing,2026-04-04 00:00:00
F0140,A006,1,Very professional throughout the transaction,2026-01-19 00:00:00
F0141,A008,1,Agent missed scheduled viewing,2026-06-20 00:00:00
F0142,A004,2,Very professional throughout the transaction,2026-04-05 00:00:00
F0143,A010,3,Property listing information was outdated,2026-06-01 00:00:00
F0144,A002,3,Excellent property viewing experience,2026-02-23 00:00:00
F0145,A008,2,Agent missed scheduled viewing,2026-05-24 00:00:00
F0146,A005,3,Service charge details were unclear,2026-03-03 00:00:00
F0147,A003,1,Very professional throughout the transaction,2026-05-23 00:00:00
F0148,A004,4,Very professional throughout the transaction,2026-04-18 00:00:00
F0149,A005,2,Very professional throughout the transaction,2026-04-20 00:00:00
F0150,A007,5,Property listing information was outdated,2026-03-10 00:00:00
F0151,A006,3,Property listing information was outdated,2026-02-23 00:00:00
F0152,A004,3,Excellent property viewing experience,2026-03-05 00:00:00
F0153,A001,3,Very professional throughout the transaction,2026-02-09 00:00:00
F0154,A002,2,Property listing information was outdated,2026-04-04 00:00:00
F0155,A006,4,Agent missed scheduled viewing,2026-01-11 00:00:00
F0156,A008,5,Agent explained the mortgage process clearly,2026-04-22 00:00:00
F0157,A010,2,Follow-up took too long,2026-05-27 00:00:00
F0158,A002,4,Very professional throughout the transaction,2026-06-30 00:00:00
F0159,A010,3,Service charge details were unclear,2026-03-24 00:00:00
F0160,A009,4,Excellent property viewing experience,2026-03-02 00:00:00
F0161,A002,4,Agent missed scheduled viewing,2026-04-22 00:00:00
F0162,A005,5,Excellent property viewing experience,2026-03-13 00:00:00
F0163,A008,3,Agent missed scheduled viewing,2026-01-24 00:00:00
F0164,A006,3,Excellent property viewing experience,2026-06-02 00:00:00
F0165,A004,5,Follow-up took too long,2026-01-24 00:00:00
F0166,A001,4,Agent explained the mortgage process clearly,2026-04-04 00:00:00
F0167,A005,2,Agent explained the mortgage process clearly,2026-06-04 00:00:00
F0168,A003,2,Excellent property viewing experience,2026-05-31 00:00:00
F0169,A006,5,Follow-up took too long,2026-05-24 00:00:00
F0170,A006,4,Agent missed scheduled viewing,2026-01-31 00:00:00
F0171,A006,3,Excellent property viewing experience,2026-02-20 00:00:00
F0172,A001,5,Agent missed scheduled viewing,2026-04-09 00:00:00
F0173,A008,3,Agent missed scheduled viewing,2026-04-08 00:00:00
F0174,A009,2,Property listing information was outdated,2026-04-09 00:00:00
F0175,A010,2,Very professional throughout the transaction,2026-04-13 00:00:00
F0176,A010,4,Agent explained the mortgage process clearly,2026-01-09 00:00:00
F0177,A003,5,Agent explained the mortgage process clearly,2026-03-17 00:00:00
F0178,A009,5,Agent explained the mortgage process clearly,2026-05-15 00:00:00
F0179,A007,3,Agent explained the mortgage process clearly,2026-05-28 00:00:00
F0180,A004,1,Very professional throughout the transaction,2026-05-15 00:00:00
F0181,A003,1,Very professional throughout the transaction,2026-01-20 00:00:00
F0182,A008,5,Excellent property viewing experience,2026-03-14 00:00:00
F0183,A009,5,Excellent property viewing experience,2026-06-22 00:00:00
F0184,A006,1,Follow-up took too long,2026-04-13 00:00:00
F0185,A001,2,Agent explained the mortgage process clearly,2026-01-20 00:00:00
F0186,A006,2,Very professional throughout the transaction,2026-01-15 00:00:00
F0187,A001,2,Agent explained the mortgage process clearly,2026-06-17 00:00:00
F0188,A010,5,Very professional throughout the transaction,2026-05-27 00:00:00
F0189,A006,4,Agent explained the mortgage process clearly,2026-06-28 00:00:00
F0190,A009,2,Agent explained the mortgage process clearly,2026-02-28 00:00:00
F0191,A002,2,Follow-up took too long,2026-03-12 00:00:00
F0192,A009,2,Excellent property viewing experience,2026-05-10 00:00:00
F0193,A006,2,Follow-up took too long,2026-02-25 00:00:00
F0194,A005,4,Follow-up took too long,2026-01-17 00:00:00
F0195,A008,1,Service charge details were unclear,2026-01-26 00:00:00
F0196,A001,2,Agent explained the mortgage process clearly,2026-03-07 00:00:00
F0197,A007,5,Property listing information was outdated,2026-05-07 00:00:00
F0198,A007,4,Agent explained the mortgage process clearly,2026-01-04 00:00:00
F0199,A003,4,Excellent property viewing experience,2026-03-16 00:00:00
F0200,A007,4,Follow-up took too long,2026-05-15 00:00:00
F0201,A001,6,No review text provided,2026-06-01 00:00:00
