PropertyID,PropertyName,PropertyType,Region,ListedPrice,Status
P072,Marina Gate 72,Luxury Villa,JVC,10137108,Sold
P073,Vida Residences 73,2 Bedroom Apartment,Khalifa City,11707622,Sold
P074,Address Beach Residences 74,Townhouse,Al Khan,7305097,Sold
P075,Marina Gate 75,Townhouse,Yas Island,2832831,Sold
P076,Reem Five 76,Townhouse,Al Reem Island,2206951,Sold
P077,Yas Golf Collection 77,Penthouse,Al Majaz,1018516,Sold
P078,Reem Five 78,Luxury Villa,Al Reem Island,731528,Sold
P079,Palm Tower Residences 79,Luxury Villa,Palm Jumeirah,2431621,Sold
P080,Saadiyat Lagoons 80,Studio Apartment,Palm Jumeirah,8769917,Sold
P081,Vida Residences 81,1 Bedroom Apartment,Khalifa City,9370133,Sold
P082,Yas Golf Collection 82,2 Bedroom Apartment,Al Reem Island,9204717,Available
P083,Palm Tower Residences 83,Studio Apartment,Dubai Marina,11986228,Available
P084,Emaar Beachfront 84,1 Bedroom Apartment,Al Majaz,2092902,Sold
P085,Creek Horizon 85,Luxury Villa,Dubai Hills Estate,10258793,Available
P086,Marina Gate 86,Studio Apartment,Al Reem Island,2132085,Sold
P087,Burj Vista 87,2 Bedroom Apartment,Saadiyat Island,5364427,Sold
P088,Palm Tower Residences 88,Office Space,Khalifa City,1543184,Sold
P089,Emaar Beachfront 89,Office Space,Al Reem Island,8122895,Sold
P090,Creek Horizon 90,1 Bedroom Apartment,Downtown Dubai,8531598,Sold
P091,Marina Gate 91,1 Bedroom Apartment,Yas Island,5511191,Sold
P092,Reem Five 92,Retail Unit,Al Majaz,9704231,Sold
P093,Reem Five 93,Townhouse,Al Khan,1347903,Available
P094,Creek Horizon 94,Townhouse,Tilal City,10160172,Sold
P095,Address Beach Residences 95,Penthouse,Business Bay,2168693,Sold
P096,Vida Residences 96,Studio Apartment,Dubai Hills Estate,10939604,Sold
P097,Yas Golf Collection 97,Townhouse,Dubai Marina,6141365,Sold
P098,Yas Golf Collection 98,Luxury Villa,Khalifa City,3071231,Sold
P099,Saadiyat Lagoons 99,Townhouse,Al Raha Beach,1401872,Sold
P100,Vida Residences 100,2 Bedroom Apartment,Al Majaz,9615151,Sold
P101,Missing Price,1 Bedroom Apartment,dubai marina,,Available
