feedback_id,agent_id,rating,review_text,review_date
F0136,A002,5.0,Very professional throughout the transaction,2026-06-30
F0137,A008,5.0,Excellent property viewing experience,2026-01-28
F0138,A008,5.0,Excellent property viewing experience,2026-04-09
F0139,A007,1.0,Agent missed scheduled viewing,2026-04-04
F0140,A006,5.0,Very professional throughout the transaction,2026-01-19
F0141,A008,1.0,Agent missed scheduled viewing,2026-06-20
F0142,A004,5.0,Very professional throughout the transaction,2026-04-05
F0143,A010,2.0,Property listing information was outdated,2026-06-01
F0144,A002,5.0,Excellent property viewing experience,2026-02-23
F0145,A008,1.0,Agent missed scheduled viewing,2026-05-24
F0146,A005,2.0,Service charge details were unclear,2026-03-03
F0147,A003,5.0,Very professional throughout the transaction,2026-05-23
F0148,A004,5.0,Very professional throughout the transaction,2026-04-18
F0149,A005,5.0,Very professional throughout the transaction,2026-04-20
F0150,A007,2.0,Property listing information was outdated,2026-03-10
F0151,A006,2.0,Property listing information was outdated,2026-02-23
F0152,A004,5.0,Excellent property viewing experience,2026-03-05
F0153,A001,5.0,Very professional throughout the transaction,2026-02-09
F0154,A002,2.0,Property listing information was outdated,2026-04-04
F0155,A006,1.0,Agent missed scheduled viewing,2026-01-11
F0156,A008,4.0,Agent explained the mortgage process clearly,2026-04-22
F0157,A010,2.0,Follow-up took too long,2026-05-27
F0158,A002,5.0,Very professional throughout the transaction,2026-06-30
F0159,A010,2.0,Service charge details were unclear,2026-03-24
F0160,A009,5.0,Excellent property viewing experience,2026-03-02
F0161,A002,1.0,Agent missed scheduled viewing,2026-04-22
F0162,A005,5.0,Excellent property viewing experience,2026-03-13
F0163,A008,1.0,Agent missed scheduled viewing,2026-01-24
F0164,A006,5.0,Excellent property viewing experience,2026-06-02
F0165,A004,2.0,Follow-up took too long,2026-01-24
F0166,A001,4.0,Agent explained the mortgage process clearly,2026-04-04
F0167,A005,4.0,Agent explained the mortgage process clearly,2026-06-04
F0168,A003,5.0,Excellent property viewing experience,2026-05-31
F0169,A006,2.0,Follow-up took too long,2026-05-24
F0170,A006,1.0,Agent missed scheduled viewing,2026-01-31
F0171,A006,5.0,Excellent property viewing experience,2026-02-20
F0172,A001,1.0,Agent missed scheduled viewing,2026-04-09
F0173,A008,1.0,Agent missed scheduled viewing,2026-04-08
F0174,A009,2.0,Property listing information was outdated,2026-04-09
F0175,A010,5.0,Very professional throughout the transaction,2026-04-13
F0176,A010,4.0,Agent explained the mortgage process clearly,2026-01-09
F0177,A003,4.0,Agent explained the mortgage process clearly,2026-03-17
F0178,A009,4.0,Agent explained the mortgage process clearly,2026-05-15
F0179,A007,4.0,Agent explained the mortgage process clearly,2026-05-28
F0180,A004,5.0,Very professional throughout the transaction,2026-05-15
F0181,A003,5.0,Very professional throughout the transaction,2026-01-20
F0182,A008,5.0,Excellent property viewing experience,2026-03-14
F0183,A009,5.0,Excellent property viewing experience,2026-06-22
F0184,A006,2.0,Follow-up took too long,2026-04-13
F0185,A001,4.0,Agent explained the mortgage process clearly,2026-01-20
F0186,A006,5.0,Very professional throughout the transaction,2026-01-15
F0187,A001,4.0,Agent explained the mortgage process clearly,2026-06-17
F0188,A010,5.0,Very professional throughout the transaction,2026-05-27
F0189,A006,4.0,Agent explained the mortgage process clearly,2026-06-28
F0190,A009,4.0,Agent explained the mortgage process clearly,2026-02-28
F0191,A002,2.0,Follow-up took too long,2026-03-12
F0192,A009,5.0,Excellent property viewing experience,2026-05-10
F0193,A006,2.0,Follow-up took too long,2026-02-25
F0194,A005,2.0,Follow-up took too long,2026-01-17
F0195,A008,2.0,Service charge details were unclear,2026-01-26
F0196,A001,4.0,Agent explained the mortgage process clearly,2026-03-07
F0197,A007,2.0,Property listing information was outdated,2026-05-07
F0198,A007,4.0,Agent explained the mortgage process clearly,2026-01-04
F0199,A003,5.0,Excellent property viewing experience,2026-03-16
F0200,A007,2.0,Follow-up took too long,2026-05-15
F0201,A001,,No review text provided,2026-06-01
